group_name,joined,url,url_confidence,notes,allows_vendor_posts,promo_day,admin_approval,disclosure_required,last_posted
"TREIA-Triangle Real Estate Investors Association","2026-08-14","https://www.facebook.com/groups/treiainc/","high","exact name match",,,,,
"Mint Hill Real Estate Connection","2026-08-14","https://www.facebook.com/groups/2118412135045624/","high","exact name match",,,,,
"Eastern NC Real Estate Investors","2026-08-14","https://www.facebook.com/groups/644210546023022/","high","exact name match",,,,,
"Real Estate Investors Durham North Carolina | RealEstateInvesting.com","2026-08-12","https://www.facebook.com/groups/durhamnorth.carolina.real.estate.investing/","high","REInvesting.com network",,,,,
"North Carolina Investment Real Estate Network","2026-08-12","https://www.facebook.com/groups/RealEstateInvestmentsInNC/","high","exact name match",,,,,
"North Carolina Real Estate Investors-Wholesale, Fix and Flips, JV","2025-08-20","https://www.facebook.com/groups/1558244667717000/","high","exact name match",,,,,
"NC Real Estate Investors Networking Group","2026-06-21","https://www.facebook.com/groups/3943328229305559/","high","exact name match",,,,,
"Triad Real Estate Investors Network","2026-08-24","https://www.facebook.com/groups/TriadRealEstateInvestorsNetwork/","high","exact name match",,,,,
"North Carolina Real Estate Investors Network","2026-08-15","https://www.facebook.com/groups/northcarolinarealestateinvestors/","high","exact name match",,,,,
"Charlotte Real Estate Investor Group","2026-04-02","https://www.facebook.com/groups/charlotterealestateinvestorgroup/","high","exact name match",,,,,
"Charlotte Real Estate Investors Association / Alliance","2026-08-18","https://www.facebook.com/groups/charlottereia/","high","Charlotte REIA",,,,,
"Real Estate Investors Charlotte NC | RealEstateInvesting.com","2025-08-26","https://www.facebook.com/groups/charlotte.nc.real.estate.investing/","high","REInvesting.com network",,,,,
"Carolina House Flip and Wholesale Real Estate Group","2024-12-06","https://www.facebook.com/groups/233585974513982/","high","exact name match",,,,,
"North Carolina Wholesale Real Estate","2024-12-17","https://www.facebook.com/groups/954071355240407/","high","exact name match",,,,,
"North Carolina Off Market Properties","2025-08-20","https://www.facebook.com/groups/northcarolinaoffmarketproperties/","high","exact name match",,,,,
"North Carolina Off-Market Properties","2026-08-14","https://www.facebook.com/groups/northcarolinaoffmarket/","high","distinct from the group above - note hyphen",,,,,
"North Carolina Land and Farms For Sale","2025-08-20","https://www.facebook.com/groups/321448383751445/","high","exact name match",,,,,
"North Carolina Farms, Land and Houses- For Sale, Rent, Owner finance, etc","2025-10-20","https://www.facebook.com/groups/571723116624105/","high","exact name match",,,,,
"North Carolina For Sale & Rent, Land, Farms, Homes","2025-12-28","https://www.facebook.com/groups/1445087320273076/","high","exact name match",,,,,
"North Carolina Land Investing","2025-08-20","https://www.facebook.com/groups/northcarolinalandinvesting/","high","exact name match",,,,,
"Wholesale Real Estate Fayetteville North Carolina","2026-08-14","https://www.facebook.com/groups/795745200769211/","high","exact name match",,,,,
"NC Real Estate Agents & Professionals","2025-08-26","https://www.facebook.com/groups/ncrealestateandpros/","high","exact name match",,,,,
"Raleigh NC Off Market Real Estate Deals","2026-08-14","https://www.facebook.com/groups/raleighoffmarketdeals/","high","exact name match",,,,,
"Charlotte NC - Off Market Properties","2025-12-28","https://www.facebook.com/groups/cltoffmarketproperties/","high","exact name match",,,,,
"Statesville Real Estate Investors","2026-06-24","https://www.facebook.com/groups/278100881174769/","high","public group",,,,,
"Real Estate Investors Raleigh NC | RealEstateInvesting.com","2026-08-14","https://www.facebook.com/groups/raleigh.nc.real.estate.investing/","high","REInvesting.com network",,,,,
