week,day,slot,group,url,message_type,notes
1,Mon,AM,"Charlotte REIA / Alliance","https://www.facebook.com/groups/charlottereia/","A - Educational","Tier 1. Check rules first - likely no-solicitation."
1,Tue,AM,"North Carolina Wholesale Real Estate","https://www.facebook.com/groups/954071355240407/","C - Deal-enabler","Tier 1"
1,Wed,AM,"Charlotte NC - Off Market Properties","https://www.facebook.com/groups/cltoffmarketproperties/","E - Engagement","Tier 1"
1,Thu,AM,"Real Estate Investors Charlotte NC","https://www.facebook.com/groups/charlotte.nc.real.estate.investing/","A - Educational","Tier 1. REInvesting.com network."
1,Fri,AM,"North Carolina REI - Wholesale, Fix and Flips, JV","https://www.facebook.com/groups/1558244667717000/","C - Deal-enabler","Tier 1"
2,Mon,AM,"TREIA - Triangle REIA","https://www.facebook.com/groups/treiainc/","A - Educational","Tier 1. Organized REIA - expect strict vendor rules."
2,Tue,AM,"Raleigh NC Off Market Real Estate Deals","https://www.facebook.com/groups/raleighoffmarketdeals/","C - Deal-enabler","Tier 1"
2,Wed,AM,"Triad Real Estate Investors Network","https://www.facebook.com/groups/TriadRealEstateInvestorsNetwork/","E - Engagement","Tier 1"
2,Thu,AM,"North Carolina Off Market Properties","https://www.facebook.com/groups/northcarolinaoffmarketproperties/","A - Educational","Tier 1"
2,Fri,AM,"NC Real Estate Investors Networking Group","https://www.facebook.com/groups/3943328229305559/","C - Deal-enabler","Tier 1"
3,Mon,AM,"Charlotte Real Estate Investor Group","https://www.facebook.com/groups/charlotterealestateinvestorgroup/","E - Engagement","Tier 2"
3,Tue,AM,"North Carolina Real Estate Investors Network","https://www.facebook.com/groups/northcarolinarealestateinvestors/","A - Educational","Tier 2"
3,Wed,AM,"Real Estate Investors Raleigh NC","https://www.facebook.com/groups/raleigh.nc.real.estate.investing/","C - Deal-enabler","Tier 2. REInvesting.com network."
3,Thu,AM,"North Carolina Investment Real Estate Network","https://www.facebook.com/groups/RealEstateInvestmentsInNC/","E - Engagement","Tier 2"
3,Fri,AM,"Carolina House Flip and Wholesale Real Estate Group","https://www.facebook.com/groups/233585974513982/","A - Educational","Tier 2"
4,Mon,AM,"Real Estate Investors Durham North Carolina","https://www.facebook.com/groups/durhamnorth.carolina.real.estate.investing/","C - Deal-enabler","Tier 2. REInvesting.com network."
4,Tue,AM,"Real Estate Investors Greensboro NC","https://www.facebook.com/groups/greensboro.nc.real.estate.investing/","A - Educational","Tier 2. REInvesting.com network."
4,Wed,AM,"Real Estate Investors Winston-Salem NC","https://www.facebook.com/groups/winstonsalem.nc.real.estate.investing/","E - Engagement","Tier 2. REInvesting.com network."
4,Thu,AM,"Wholesale Real Estate Fayetteville North Carolina","https://www.facebook.com/groups/795745200769211/","C - Deal-enabler","Tier 2"
4,Fri,AM,"Eastern NC Real Estate Investors","https://www.facebook.com/groups/644210546023022/","A - Educational","Tier 2"
5,Mon,AM,"Greenville NC Real Estate Investors","https://www.facebook.com/groups/727000970765680/","E - Engagement","Tier 3"
5,Tue,AM,"Statesville Real Estate Investors","https://www.facebook.com/groups/278100881174769/","A - Educational","Tier 3"
5,Wed,AM,"Charlotte/Triangle/Triad off market real estate","https://www.facebook.com/groups/541963150394445/","C - Deal-enabler","Tier 3"
5,Thu,AM,"North Carolina Off-Market Properties","https://www.facebook.com/groups/northcarolinaoffmarket/","E - Engagement","Tier 3. NOTE hyphen - different group from wk2 Thu."
5,Fri,AM,"Triad NC Real Estate For Sale","https://www.facebook.com/groups/132632112062762/","A - Educational","Tier 3"
6,Mon,AM,"Fayetteville NC Investment Property's","https://www.facebook.com/groups/1280182228658734/","C - Deal-enabler","Tier 3"
6,Tue,AM,"Ballantyne Real Estate Connection","https://www.facebook.com/groups/671919856253749/","A - Educational","Tier 3"
6,Wed,AM,"Mint Hill Real Estate Connection","https://www.facebook.com/groups/2118412135045624/","E - Engagement","Tier 3"
6,Thu,AM,"Triad Real Estate Collaborators","https://www.facebook.com/groups/537168516912225/","C - Deal-enabler","Tier 3"
6,Fri,AM,"North Carolina Land Investing","https://www.facebook.com/groups/northcarolinalandinvesting/","A - Educational","Tier 3"
