county_pid,owner,owner_group,situs_address,municipality,property_use,property_type,acres,total_value,touching_parcels,touching_parcels_not_county_owned,polaris_url
22351107,MECKLENBURG COUNTY,County government,BALLANTYNE GREEN DR CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",9.750,305700,355,354,https://polaris3g.mecklenburgcountync.gov/?pid=22351107
17513496,MECKLENBURG COUNTY,County government,E WOODLAWN RD CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",0.056,7000,237,237,https://polaris3g.mecklenburgcountync.gov/?pid=17513496
00502109,MECKLENBURG COUNTY,County government,18121 OLD STATESVILLE RD CORNELIUS NC,CORNELIUS,OTHER COUNTY PROPERTY,"Public land, ROW & utility",41.092,23045900,227,224,https://polaris3g.mecklenburgcountync.gov/?pid=00502109
15901145,MECKLENBURG COUNTY,County government,COLONNADE DR CHARLOTTE NC,CHARLOTTE,GREENWAY TRAIL,"Public land, ROW & utility",8.493,5593100,197,2,https://polaris3g.mecklenburgcountync.gov/?pid=15901145
12710C98,MECKLENBURG COUNTY,County government,616 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,612 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,606 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,600 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,3001 CHANTILLY LN CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,3005 CHANTILLY LN CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,612 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,606 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,600 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,3001 CHANTILLY LN CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,616 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,612 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,606 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,606 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,600 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,3001 CHANTILLY LN CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,3005 CHANTILLY LN CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,3005 CHANTILLY LN CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,616 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,616 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,612 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,612 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,3001 CHANTILLY LN CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,3001 CHANTILLY LN CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,3005 CHANTILLY LN CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,3005 CHANTILLY LN CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,606 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,606 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,600 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,600 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,616 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,612 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,606 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,606 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,3005 CHANTILLY LN CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,3005 CHANTILLY LN CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,616 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,612 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,612 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,600 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,3001 CHANTILLY LN CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,3005 CHANTILLY LN CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,616 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,616 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,600 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,600 CAVALIER CT CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,3001 CHANTILLY LN CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
12710C98,MECKLENBURG COUNTY,County government,3001 CHANTILLY LN CHARLOTTE NC,CHARLOTTE,OTHER COUNTY PROPERTY,"Public land, ROW & utility",3.543,0,196,4,https://polaris3g.mecklenburgcountync.gov/?pid=12710C98
14708178,MECKLENBURG COUNTY,County government,2700 DORCHESTER PL CHARLOTTE NC,CHARLOTTE,SCHOOL - PUBLIC,Institutional,24.565,28947300,175,174,https://polaris3g.mecklenburgcountync.gov/?pid=14708178
